CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,3.0,4,1,1.8704380810168875,1.8704380810168875,0.0,1.0,1.0
1.0,Tetrahedron,3.0,34,6,1.8022854362826704,1.8022854362826704,0.0,1.0,1.0
1.0,"Trigonal bipyramid, Tetrahedron",3.0,4,1,1.8382516152598947,1.8382516152598947,0.0,1.0,1.0
2.0,Octahedron,3.0,12,2,1.8664537654417528,1.8673243688906862,0.0008706034489334118,1.0,1.0
2.0,Tetrahedron,3.0,15,5,1.8040600116322727,1.8108964619236554,0.0068364502913827565,1.0,1.0
3.0,Octahedron,3.0,6,2,1.885136782307234,1.9149905558734324,0.02332139457711901,1.0,1.0
3.0,"Octahedron, Tetrahedron",3.0,20,5,1.8272971971750047,1.8305642719436443,0.003505772540135887,1.0,1.0
3.0,"Octahedron, Trigonal bipyramid, Tetrahedron",3.0,1,1,,,,,1.0
3.0,Tetrahedron,3.0,10,3,1.7521819280495048,1.7650296332636781,0.010113387374526196,1.0,1.0
4.0,Octahedron,3.0,70,19,1.881003067251071,1.907967244376446,0.024937854990971394,1.0,1.0
4.0,"Octahedron, Tetrahedron",3.0,543,122,1.7696328407594704,1.7904683315486902,0.017247129555106697,0.9990366088631984,1.0
4.0,"Octahedron, Trigonal bipyramid, Tetrahedron",3.0,15,12,1.8231462701256884,1.8299805321364424,0.007802735367865017,1.0,1.0
4.0,Tetrahedron,3.0,2105,342,1.7511082057468352,1.7678874809648397,0.01255086892081141,0.9866329479768786,1.0
4.0,"Trigonal bipyramid, Tetrahedron",3.0,27,4,1.7521916716704573,1.7723296462861642,0.014215838847644794,1.0,1.0
4.0,no_data,3.0,4,2,1.7376630407766605,1.7656821625597765,0.02022885370588896,1.0,1.0
5.0,Octahedron,3.0,7,4,1.8183583190666224,1.9151245451519456,0.07433360570973446,1.0,1.0
5.0,"Octahedron, Square pyramid",3.0,8,1,1.8058263285591958,1.8493407643223274,0.030701584717420037,1.0,1.0
5.0,"Octahedron, Tetrahedron",3.0,18,4,1.8717521950091889,2.014300805931888,0.1810157121434942,1.0,1.0
5.0,"Octahedron, Trigonal bipyramid",3.0,14,9,1.7891310207705524,1.8494483628816267,0.060448306892431664,1.0,1.0
5.0,"Octahedron, Trigonal bipyramid, Tetrahedron",3.0,48,12,1.768774909182432,1.9369295676091849,0.23804648662437042,1.0,1.0
5.0,Square pyramid,3.0,9,2,1.7479542328659399,1.8260131930314791,0.04601191832186113,1.0,1.0
5.0,Trigonal bipyramid,3.0,91,25,1.7937162408018736,1.85933773592545,0.06190271975659805,0.9736263736263736,1.0
5.0,"Trigonal bipyramid, Tetrahedron",3.0,30,5,1.7560786757013065,1.921580989333875,0.23805316109334396,0.9600000000000001,1.0
6.0,Octahedron,3.0,1996,399,1.8582922723839792,1.9294575798039395,0.05545261160881374,0.9978235392600033,1.0
6.0,"Octahedron, Square pyramid",3.0,4,1,1.8840454573644674,1.9101756403780232,0.01845676749781462,1.0,1.0
6.0,"Octahedron, Tetrahedron",3.0,1441,121,1.8638801747019313,1.9469015688365816,0.08011817604076693,1.0,1.0
6.0,"Octahedron, Trigonal bipyramid",3.0,61,9,1.8541337709639085,1.9611487542682082,0.15885785663860252,1.0,1.0
6.0,"Octahedron, Trigonal bipyramid, Tetrahedron",3.0,172,12,1.838758612759658,1.9633710181710962,0.14184540384356367,1.0,1.0
6.0,no_data,3.0,4,1,1.8747227908386517,1.902593731809625,0.022965228435507454,1.0,1.0
