CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,"See-saw, Square pyramid",14,2,2.0705750082589383,2.0705750082589383,0.0,1.0,1.0
2.0,"See-saw, Triangular non-coplanar, Square non-coplanar, Pentagonal plane, Square pyramid",10,1,2.143815364371205,2.164616988582225,0.02080162421101981,1.0,0.625
2.0,"Octahedron, Cube",3,1,2.0561432747274426,2.056144733537948,1.4588105052403795e-06,1.0,0.1875
2.0,"See-saw, Square pyramid",2,1,2.1064326194346847,2.1064326776745506,5.823986604092113e-08,1.0,0.125
2.0,Square pyramid,1,1,,,,,0.0625
3.0,Triangular non-coplanar,68,15,2.0630496659011213,2.095411731824007,0.023993578718104674,0.691542288557214,0.6868686868686869
3.0,"See-saw, Triangular non-coplanar, Square non-coplanar, Pentagonal plane, Square pyramid",4,1,2.175706156164247,2.218351962059702,0.052836245064252316,1.0,0.04040404040404041
3.0,Octahedron,3,3,,,,,0.030303030303030304
3.0,"See-saw, Triangular non-coplanar",3,3,2.209100246358247,2.2397687374679163,0.026841548043948966,1.0,0.030303030303030304
3.0,"Trigonal bipyramid, Triangular non-coplanar, Tetrahedron",3,1,2.059385155790994,2.0696064031216945,0.010393076175878492,1.0,0.030303030303030304
3.0,"Octahedron, Square pyramid",2,2,,,,,0.020202020202020204
3.0,"See-saw, Octahedron",2,2,,,,,0.020202020202020204
3.0,"See-saw, Triangular non-coplanar, Square pyramid",2,1,2.0774237432499323,2.1241772047205556,0.034539593312767014,1.0,0.020202020202020204
3.0,Square pyramid,2,1,2.2719582765301514,2.399708377125571,0.09062938280810488,1.0,0.020202020202020204
3.0,"Octahedron, Pentagonal plane, Square pyramid",1,1,,,,,0.010101010101010102
3.0,"Octahedron, Triangular non-coplanar, See-saw",1,1,,,,,0.010101010101010102
3.0,"See-saw, Face-capped octahedron",1,1,,,,,0.010101010101010102
3.0,"See-saw, Square pyramid",1,1,,,,,0.010101010101010102
3.0,"Square non-coplanar, Square pyramid",1,1,,,,,0.010101010101010102
3.0,"Square pyramid, Pentagonal pyramid",1,1,,,,,0.010101010101010102
3.0,"Square-face capped trigonal prism, Square-face bicapped trigonal prism, Bicapped octahedron (cap faces with one atom in common)",1,1,,,,,0.010101010101010102
3.0,"Triangular non-coplanar, Square pyramid",1,1,,,,,0.010101010101010102
3.0,"Tricapped triangular prism (three square-face caps), Pentagonal pyramid",1,1,,,,,0.010101010101010102
3.0,Trigonal prism,1,1,,,,,0.010101010101010102
4.0,Tetrahedron,26,8,1.9697178581935506,1.982207161501062,0.011367602001409413,0.5384615384615384,0.19117647058823528
4.0,Square non-coplanar,24,2,2.1138346360763465,2.238217192352829,0.12728765172672965,1.0,0.17647058823529413
4.0,See-saw,17,3,2.0992732223325707,2.277869475500454,0.17237573892870434,1.0,0.125
4.0,"See-saw, Triangular non-coplanar, Square non-coplanar, Pentagonal plane, Square pyramid",12,1,2.233956663225442,2.3524261410382064,0.1491884798003919,1.0,0.08823529411764706
4.0,"See-saw, Octahedron",8,1,2.1507430290108767,2.3217181617283376,0.14220147957349863,1.0,0.058823529411764705
4.0,"See-saw, Triangular non-coplanar",8,1,2.1203120792337637,2.4133100592182672,0.38946917861609265,1.0,0.058823529411764705
4.0,"Trigonal bipyramid, Triangular non-coplanar, Tetrahedron",8,1,2.0794737917767527,2.203459075897098,0.13665689190765806,1.0,0.058823529411764705
4.0,"Octahedron, Tetrahedron",7,3,1.95043239037112,1.9710587830672093,0.015301038258544916,1.0,0.051470588235294115
4.0,"See-saw, Triangular non-coplanar, Square pyramid",6,1,2.097870114544017,2.299460956012471,0.2443594163383954,1.0,0.04411764705882353
4.0,"Octahedron, Square pyramid",5,4,2.2709716652648297,2.4756580295976214,0.14212282986843278,1.0,0.03676470588235294
4.0,Octahedron,4,4,,,,,0.029411764705882353
