CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,"Single neighbor, Angular",2.5,1,1,,,,,1.0
2.0,Angular,3.0,14,3,1.2486819961804196,1.2516280782764357,0.0029460820960160133,0.0,1.0
2.0,"Single neighbor, Angular",2.5,4,1,1.2435617965283914,1.2495922377215078,0.006030441193116548,0.0,1.0
2.0,"Trigonal plane, Angular",5.0,2,1,1.2705525686571681,1.2705525686571681,7.850462293418876e-17,0.0,1.0
2.0,no_data,3.0,1,1,,,,,1.0
3.0,Angular,5.0,1,1,,,,,1.0
3.0,"Bicapped octahedron (cap faces with one edge in common), Face-capped octahedron, Trigonal plane",5.0,8,1,1.2504821029258069,1.268103800236807,0.017060806308920602,1.0,1.0
3.0,"Cube, Square-face capped square prism, Trigonal plane, Octahedron",5.0,4,1,1.2607316064445266,1.260996208380908,0.0003742036470603815,1.0,1.0
3.0,"Diminished icosahedron, Icosahedron, Trigonal plane",5.0,1,1,,,,,1.0
3.0,"Dodecahedron with triangular faces - p2345 plane normalized, Trigonal plane",5.0,1,1,,,,,1.0
3.0,"Face-capped octahedron, Bicapped octahedron (cap faces with one atom in common), Octahedron, Trigonal plane",5.0,7,1,1.2663664824861,1.2680840163744074,0.0014014624440140762,1.0,1.0
3.0,"Hexagonal bipyramid, Trigonal plane",5.0,6,1,1.2656762622533313,1.2693892953394021,0.0052510217478609076,0.4444444444444444,1.0
3.0,"Icosahedron, Trigonal plane",5.0,52,6,1.2451848675558723,1.2690775637465164,0.016949158198794438,0.5,1.0
3.0,"Icosahedron, Trigonal plane, Metabidiminished icosahedron",5.0,1,1,,,,,1.0
3.0,Trigonal plane,5.0,660,181,1.2445146020025626,1.268814542907578,0.01952687012498043,0.5202380952380952,1.0
3.0,"Trigonal plane, Angular",5.0,2,1,1.2696367335444996,1.2709690551382038,0.0009420936336294451,0.0,1.0
3.0,"Trigonal plane, Octahedron",5.0,33,7,1.231345835233297,1.268574376765988,0.028560683274165607,0.7291666666666666,1.0
3.0,"Trigonal plane, Octahedron, Pentagonal bipyramid",5.0,4,2,1.261000106786952,1.26445800176515,0.0025021021661403684,1.0,1.0
3.0,"Trigonal plane, Pentagonal bipyramid",5.0,4,1,1.2435219590085262,1.2714440362502617,0.03908335999909841,0.6666666666666666,1.0
3.0,"Trigonal plane, Square-face bicapped square antiprism",5.0,4,2,1.2375505059862355,1.2650951422341987,0.019544085638172056,1.0,1.0
3.0,"Trigonal plane, Square-face monocapped antiprism",5.0,2,1,1.238549254652134,1.2591593874456701,0.014573564659464704,1.0,1.0
3.0,no_data,5.0,20,5,1.2273466180759132,1.2698840551998956,0.030079390892961196,0.6666666666666666,1.0
4.0,"Square-face bicapped trigonal prism, Octahedron, Trigonal prism, Tetrahedron",5.0,8,1,1.3843131291796016,1.3899361075216747,0.004866649317526025,1.0,1.0
4.0,Tetrahedron,5.0,16,3,1.399518465562898,1.4043014617100047,0.004894020445246436,0.125,1.0
4.0,"Tetrahedron, Square-face capped trigonal prism, Octahedron",5.0,8,1,1.3856191120529235,1.3877963852792907,0.0026278125503838186,1.0,1.0
